"Pickup address";"Ride price";"Booking fee";"Tip";"Payment method";"Distance";"Order date";"Time of Order";"Payment date";"Time of Payment"
"Arboretum Park Lane, Nairobi";370.0;17.6;0.0;"Cash";6.0;"2023-01-18";"15:33:00";"2023-01-18";"16:11:00"
"Kileleshwa, Nairobi";240.0;11.34;0.0;"Cash";4.0;"2023-01-18";"15:19:00";"2023-01-18";"15:36:00"
"Yaya Centre, Argwings Kodhek Rd, Nairobi";210.0;10.0;0.0;"Cash";3.0;"2023-01-18";"15:01:00";"2023-01-18";"15:17:00"
"Kirongothi Street, Nairobi";540.0;25.67;0.0;"Cash";12.0;"2023-01-18";"13:58:00";"2023-01-18";"14:43:00"
"Absolute P 1, Ngong Road, Nairobi";450.0;21.22;0.0;"Cash";9.0;"2023-01-18";"12:33:00";"2023-01-18";"13:09:00"
"Muringa Groove, Nairobi";230.0;10.83;0.0;"Cash";4.0;"2023-01-18";"11:17:00";"2023-01-18";"11:35:00"
"Mwanzi Road Westgate Mall, Nairobi 00100";420.0;19.66;0.0;"Cash";8.0;"2023-01-18";"10:54:00";"2023-01-18";"11:18:00"
"39 Muthithi Road, Nairobi, Kenya";190.0;9.0;0.0;"Cash";1.0;"2023-01-18";"10:26:00";"2023-01-18";"10:34:00"
"Leebarn B Estate, Nairobi, Kenya";460.0;21.87;0.0;"Cash";12.0;"2023-01-18";"08:53:00";"2023-01-18";"09:33:00"
"Donholm, Nairobi";540.0;25.56;0.0;"Cash";11.0;"2023-01-18";"08:13:00";"2023-01-18";"08:53:00"
"Mariakani Gardens, Nairobi";470.0;22.23;0.0;"Cash";11.0;"2023-01-18";"07:46:00";"2023-01-18";"08:13:00"
"Donholm Road, Nairobi";450.0;21.11;0.0;"Cash";8.0;"2023-01-18";"06:55:00";"2023-01-18";"07:34:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1240.0;58.26;0.0;"Cash";29.0;"2023-01-17";"17:52:00";"2023-01-17";"18:47:00"
"Karuri Gakure Road 117, Nairobi";760.0;31.33;0.0;"Cash";16.0;"2023-01-17";"16:58:00";"2023-01-17";"17:39:00"
"Hatheru Road, Nairobi";480.0;22.52;0.0;"Cash";9.0;"2023-01-17";"16:25:00";"2023-01-17";"16:59:00"
"Mama Ngina Street 20TH Century House, Nairobi";490.0;23.32;0.0;"Cash";9.0;"2023-01-17";"15:27:00";"2023-01-17";"16:14:00"
"Ngong Road Next To Nakumatt Prestige, Opposite Morningside Office Park, Ngong Rd, Nairobi, Nairobi";340.0;16.11;0.0;"Cash";6.0;"2023-01-17";"14:54:00";"2023-01-17";"15:26:00"
"Maziwa";190.0;9.0;0.0;"Cash";2.0;"2023-01-17";"14:33:00";"2023-01-17";"14:45:00"
"Sasyl Apartment Houses, Nairobi, Kenya";200.0;9.37;0.0;"Cash";3.0;"2023-01-17";"14:16:00";"2023-01-17";"14:31:00"
"Huri Close, Nairobi";200.0;9.5;0.0;"Cash";4.0;"2023-01-17";"13:44:00";"2023-01-17";"14:05:00"
"Hatheru Apartments, Nairobi, Kenya";220.0;10.59;0.0;"Cash";4.0;"2023-01-17";"13:26:00";"2023-01-17";"13:40:00"
"Ramisi 18, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-01-17";"13:05:00";"2023-01-17";"13:23:00"
"Maziwa, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-01-17";"12:46:00";"2023-01-17";"12:56:00"
"Muthithi Road 30, Nairobi";350.0;16.57;0.0;"Cash";7.0;"2023-01-17";"12:01:00";"2023-01-17";"12:28:00"
"TotalEnergies Rosslyn Service Station, Limuru Road, Ruaka, Kenya";330.0;15.66;0.0;"Bolt Payment";7.0;"2023-01-17";"10:39:00";"2023-01-17";"10:59:00"
"Doonholm Road, Nairobi";850.0;39.43;0.0;"Cash";17.0;"2023-01-17";"07:50:00";"2023-01-17";"08:59:00"
"Kasarani Constituency, Nairobi";760.0;35.39;0.0;"Cash";20.0;"2023-01-15";"21:35:00";"2023-01-15";"22:05:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1220.0;54.47;0.0;"Cash";29.0;"2023-01-15";"20:07:00";"2023-01-15";"21:01:00"
"Sky View, Ring Road Kilimani, Nairobi";1180.0;51.06;0.0;"Cash";20.0;"2023-01-15";"19:17:00";"2023-01-15";"19:56:00"
"Ziana Springs Apartments, Nairobi, Kenya";190.0;9.0;0.0;"Cash";1.0;"2023-01-15";"16:48:00";"2023-01-15";"16:55:00"
"Waiyaki Way, Nairobi";350.0;16.44;0.0;"Cash";6.0;"2023-01-15";"15:57:00";"2023-01-15";"16:19:00"
"Kawangware, Nairobi";540.0;25.26;0.0;"Cash";8.0;"2023-01-15";"15:23:00";"2023-01-15";"15:56:00"
"Argwings Kodhek Road, Nairobi";200.0;9.74;0.0;"Cash";4.0;"2023-01-15";"14:57:00";"2023-01-15";"15:13:00"
"Kaputei Road, Nairobi";210.0;10.0;0.0;"Bolt Payment";2.0;"2023-01-15";"14:29:00";"2023-01-15";"14:45:00"
"Ngumba Hawk apartments, Nairobi, Kenya";720.0;33.45;0.0;"Cash";16.0;"2023-01-15";"13:35:00";"2023-01-15";"14:14:00"
"Balozi Estate, Nairobi";210.0;10.06;0.0;"Cash";3.0;"2023-01-15";"13:08:00";"2023-01-15";"13:27:00"
"Kahawa South, Nairobi";310.0;14.64;0.0;"Cash";5.0;"2023-01-15";"12:13:00";"2023-01-15";"12:34:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1040.0;46.85;0.0;"Cash";25.0;"2023-01-15";"11:16:00";"2023-01-15";"11:53:00"
"Cieko Road, Nairobi";1190.0;49.25;0.0;"Cash";26.0;"2023-01-15";"10:15:00";"2023-01-15";"11:03:00"
